epoch,model_name,mAP50,mAP50_95,precision,recall,f1_score,loss,inference_time_ms,fps
-1,RT-DETR,0,0,0,0,0,0,71.8681812286377,13.914363532014981
-1,RT-DETR,0,0,0,0,0,0,70.22476196289062,14.239991308599055
-1,RT-DETR,0,0,0,0,0,0,78.77302169799805,12.694701541776887
-1,RT-DETR,0,0,0,0,0,0,74.14865493774414,13.486421309187723
-1,RT-DETR,0,0,0,0,0,0,74.6316909790039,13.399133623829178
-1,RT-DETR,0,0,0,0,0,0,85.46614646911621,11.70053923469402
-1,RT-DETR,0,0,0,0,0,0,99.8377799987793,10.016248358208955
-1,RT-DETR,0,0,0,0,0,0,77.38375663757324,12.9226086125994
-1,RT-DETR,0,0,0,0,0,0,69.05746459960938,14.48069380765619
-1,RT-DETR,0,0,0,0,0,0,67.24095344543457,14.871889061054006
-1,RT-DETR,0,0,0,0,0,0,82.91029930114746,12.061227717533523
-1,RT-DETR,0,0,0,0,0,0,67.06666946411133,14.910536157384696
-1,RT-DETR,0,0,0,0,0,0,72.26896286010742,13.837198714691969
-1,RT-DETR,0,0,0,0,0,0,73.29249382019043,13.643961992251416
-1,RT-DETR,0,0,0,0,0,0,70.58525085449219,14.167265652444133
-1,RT-DETR,0,0,0,0,0,0,77.04567909240723,12.979313204581112
-1,RT-DETR,0,0,0,0,0,0,75.74105262756348,13.202879618233386
-1,RT-DETR,0,0,0,0,0,0,78.27520370483398,12.775437848375011
-1,RT-DETR,0,0,0,0,0,0,89.04767036437988,11.229940052424007
-1,RT-DETR,0,0,0,0,0,0,75.37269592285156,13.267403902118076
-1,RT-DETR,0,0,0,0,0,0,81.46500587463379,12.275209327780525
-1,RT-DETR,0,0,0,0,0,0,78.85122299194336,12.682111475964998
-1,RT-DETR,0,0,0,0,0,0,85.41584014892578,11.707430357840675
-1,RT-DETR,0,0,0,0,0,0,68.70794296264648,14.554358009868764
-1,RT-DETR,0,0,0,0,0,0,67.42978096008301,14.830242450171664
-1,RT-DETR,0,0,0,0,0,0,69.61870193481445,14.363956411257456
-1,RT-DETR,0,0,0,0,0,0,69.51522827148438,14.385337211216594
-1,RT-DETR,0,0,0,0,0,0,86.8990421295166,11.507606706522425
-1,RT-DETR,0,0,0,0,0,0,65.22059440612793,15.332580285500173
-1,RT-DETR,0,0,0,0,0,0,80.50990104675293,12.420832555977055
-1,RT-DETR,0,0,0,0,0,0,70.16968727111816,14.251167974231516
-1,RT-DETR,0,0,0,0,0,0,87.95309066772461,11.369697101127128
-1,RT-DETR,0,0,0,0,0,0,76.83086395263672,13.015602696026711
-1,RT-DETR,0,0,0,0,0,0,79.59985733032227,12.562836587133761
-1,RT-DETR,0,0,0,0,0,0,66.46943092346191,15.044509725853949
-1,RT-DETR,0,0,0,0,0,0,75.65045356750488,13.21869140027923
-1,RT-DETR,0,0,0,0,0,0,90.03424644470215,11.106884763168278
